anio_enfr,region,grupo_edad_amp,sexo,defun_n,defun_mean,lx,nLx,ndx,nMx,nqx,Tx,ex,avp_dm
2009,Patagonia Sur,75+,Varón,95,10.5555555555556,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,98.147940271375
2013,Centro,20 a 29,Mujer,31,2.06666666666667,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,124.832812804671
2013,Centro,20 a 29,Varón,28,1.86666666666667,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,102.025601789001
2013,Centro,30 a 44,Mujer,120,8,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,405.720699876293
2013,Centro,30 a 44,Varón,156,10.4,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,471.521961453176
2013,Centro,45 a 59,Mujer,566,37.7333333333333,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,1375.02395700471
2013,Centro,45 a 59,Varón,977,65.1333333333334,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,2046.90804771118
2013,Centro,60 a 74,Mujer,2071,138.066666666667,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,3186.78383426415
2013,Centro,60 a 74,Varón,2857,190.466666666667,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,3588.84954196149
2013,Centro,75+,Mujer,3674,244.933333333333,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,2869.2422055478
2013,Centro,75+,Varón,2960,197.333333333333,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,1834.84991496802
2013,Cuyo,20 a 29,Mujer,14,1.16666666666667,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,70.4701362607014
2013,Cuyo,20 a 29,Varón,5,0.416666666666667,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,22.7735718279021
2013,Cuyo,30 a 44,Mujer,31,2.58333333333333,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,131.013976001719
2013,Cuyo,30 a 44,Varón,32,2.66666666666667,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,120.903067039276
2013,Cuyo,45 a 59,Mujer,148,12.3333333333333,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,449.43362552274
2013,Cuyo,45 a 59,Varón,235,19.5833333333333,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,615.434226218177
2013,Cuyo,60 a 74,Mujer,623,51.9166666666667,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,1198.31381503293
2013,Cuyo,60 a 74,Varón,795,66.25,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,1248.30914677082
2013,Cuyo,75+,Mujer,782,65.1666666666667,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,763.38711375149
2013,Cuyo,75+,Varón,631,52.5833333333333,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,488.931712983455
2013,NEA,20 a 29,Mujer,8,0.666666666666667,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,40.2686492918294
2013,NEA,20 a 29,Varón,10,0.833333333333333,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,45.5471436558041
2013,NEA,30 a 44,Mujer,37,3.08333333333333,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,156.371519743988
2013,NEA,30 a 44,Varón,39,3.25,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,147.350612954117
2013,NEA,45 a 59,Mujer,208,17.3333333333333,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,631.636446680607
2013,NEA,45 a 59,Varón,274,22.8333333333333,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,717.570119079917
2013,NEA,60 a 74,Mujer,572,47.6666666666667,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,1100.21749951659
2013,NEA,60 a 74,Varón,667,55.5833333333333,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,1047.32352313979
2013,NEA,75+,Mujer,669,55.75,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,653.076699616045
2013,NEA,75+,Varón,483,40.25,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,374.253593297954
2013,NOA1,20 a 29,Mujer,8,0.888888888888889,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,53.6915323891058
2013,NOA1,20 a 29,Varón,7,0.777777777777778,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,42.5106674120838
2013,NOA1,30 a 44,Mujer,24,2.66666666666667,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,135.240233292098
2013,NOA1,30 a 44,Varón,24,2.66666666666667,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,120.903067039276
2013,NOA1,45 a 59,Mujer,140,15.5555555555556,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,566.853221380032
2013,NOA1,45 a 59,Varón,220,24.4444444444444,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,768.201587336164
2013,NOA1,60 a 74,Mujer,443,49.2222222222222,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,1136.12203330035
2013,NOA1,60 a 74,Varón,491,54.5555555555556,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,1027.95772086285
2013,NOA1,75+,Mujer,510,56.6666666666667,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,663.814881523035
2013,NOA1,75+,Varón,421,46.7777777777778,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,434.950345834199
2013,NOA2,20 a 29,Mujer,6,1,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,60.4029739377441
2013,NOA2,20 a 29,Varón,2,0.333333333333333,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,18.2188574623216
2013,NOA2,30 a 44,Mujer,6,1,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,50.7150874845366
2013,NOA2,30 a 44,Varón,9,1.5,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,68.0079752095926
2013,NOA2,45 a 59,Mujer,33,5.5,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,200.423103273654
2013,NOA2,45 a 59,Varón,57,9.5,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,298.551071442009
2013,NOA2,60 a 74,Mujer,105,17.5,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,403.926005067281
2013,NOA2,60 a 74,Varón,123,20.5,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,386.269245415876
2013,NOA2,75+,Mujer,98,16.3333333333333,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,191.334877615463
2013,NOA2,75+,Varón,75,12.5,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,116.227824005576
2013,Patagonia Norte,20 a 29,Mujer,0,0,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,0
2013,Patagonia Norte,20 a 29,Varón,3,0.333333333333333,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,18.2188574623216
2013,Patagonia Norte,30 a 44,Mujer,13,1.44444444444444,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,73.2551263665528
2013,Patagonia Norte,30 a 44,Varón,9,1,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,45.3386501397284
2013,Patagonia Norte,45 a 59,Mujer,42,4.66666666666667,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,170.05596641401
2013,Patagonia Norte,45 a 59,Varón,87,9.66666666666667,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,303.788809537483
2013,Patagonia Norte,60 a 74,Mujer,149,16.5555555555556,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,382.126823841428
2013,Patagonia Norte,60 a 74,Varón,228,25.3333333333333,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,477.340856123684
2013,Patagonia Norte,75+,Mujer,262,29.1111111111111,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,341.018625409873
2013,Patagonia Norte,75+,Varón,275,30.5555555555556,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,284.112458680296
2013,Patagonia Sur,20 a 29,Mujer,1,0.111111111111111,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,6.71144154863823
2013,Patagonia Sur,20 a 29,Varón,2,0.222222222222222,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,12.1459049748811
2013,Patagonia Sur,30 a 44,Mujer,3,0.333333333333333,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,16.9050291615122
2013,Patagonia Sur,30 a 44,Varón,7,0.777777777777778,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,35.2633945531221
2013,Patagonia Sur,45 a 59,Mujer,22,2.44444444444444,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,89.0769347882907
2013,Patagonia Sur,45 a 59,Varón,49,5.44444444444445,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,171.099444452146
2013,Patagonia Sur,60 a 74,Mujer,86,9.55555555555556,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,220.556421814515
2013,Patagonia Sur,60 a 74,Varón,113,12.5555555555556,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,236.576827815686
2013,Patagonia Sur,75+,Mujer,126,14,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,164.001323670397
2013,Patagonia Sur,75+,Varón,98,10.8888888888889,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,101.247348911524
2018,Centro,20 a 29,Mujer,40,2.66666666666667,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,161.074597167317
2018,Centro,20 a 29,Varón,35,2.33333333333333,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,127.532002236252
2018,Centro,30 a 44,Mujer,148,9.86666666666667,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,500.388863180761
2018,Centro,30 a 44,Varón,189,12.6,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,571.266991760578
2018,Centro,45 a 59,Mujer,657,43.8,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,1596.09671334292
2018,Centro,45 a 59,Varón,1057,70.4666666666667,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,2214.51566676634
2018,Centro,60 a 74,Mujer,2060,137.333333333333,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,3169.85741119466
2018,Centro,60 a 74,Varón,3446,229.733333333333,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,4328.7278689532
2018,Centro,75+,Mujer,3920,261.333333333333,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,3061.35804184741
2018,Centro,75+,Varón,3321,221.4,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,2058.62721878676
2018,Cuyo,20 a 29,Mujer,8,0.666666666666667,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,40.2686492918294
2018,Cuyo,20 a 29,Varón,4,0.333333333333333,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,18.2188574623216
2018,Cuyo,30 a 44,Mujer,18,1.5,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,76.0726312268049
2018,Cuyo,30 a 44,Varón,47,3.91666666666667,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,177.576379713936
2018,Cuyo,45 a 59,Mujer,132,11,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,400.846206547308
2018,Cuyo,45 a 59,Varón,192,16,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,502.822857165489
2018,Cuyo,60 a 74,Mujer,525,43.75,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,1009.8150126682
2018,Cuyo,60 a 74,Varón,707,58.9166666666667,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,1110.13153052449
2018,Cuyo,75+,Mujer,887,73.9166666666667,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,865.887941045488
2018,Cuyo,75+,Varón,727,60.5833333333333,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,563.317520347024
2018,NEA,20 a 29,Mujer,15,1.25,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,75.5037174221801
2018,NEA,20 a 29,Varón,6,0.5,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,27.3282861934825
2018,NEA,30 a 44,Mujer,52,4.33333333333333,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,219.765379099658
2018,NEA,30 a 44,Varón,66,5.5,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,249.362575768506
2018,NEA,45 a 59,Mujer,259,21.5833333333333,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,786.508844664794
2018,NEA,45 a 59,Varón,369,30.75,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,966.362678614924
2018,NEA,60 a 74,Mujer,691,57.5833333333333,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,1329.10890238805
2018,NEA,60 a 74,Varón,897,74.75,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,1408.46956560179
2018,NEA,75+,Mujer,753,62.75,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,735.077361451243
2018,NEA,75+,Varón,554,46.1666666666667,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,429.268096660593
2018,NOA1,20 a 29,Mujer,11,1.22222222222222,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,73.8258570350205
2018,NOA1,20 a 29,Varón,10,1.11111111111111,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,60.7295248744055
2018,NOA1,30 a 44,Mujer,28,3.11111111111111,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,157.780272174114
2018,NOA1,30 a 44,Varón,45,5,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,226.693250698642
2018,NOA1,45 a 59,Mujer,144,16,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,583.049027705176
2018,NOA1,45 a 59,Varón,202,22.4444444444444,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,705.348730190478
2018,NOA1,60 a 74,Mujer,439,48.7777777777778,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,1125.86359507642
2018,NOA1,60 a 74,Varón,578,64.2222222222222,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,1210.10094227846
2018,NOA1,75+,Mujer,489,54.3333333333333,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,636.481327577969
2018,NOA1,75+,Varón,409,45.4444444444444,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,422.552711273604
2018,NOA2,20 a 29,Mujer,3,0.5,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,30.201486968872
2018,NOA2,20 a 29,Varón,3,0.5,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,27.3282861934825
2018,NOA2,30 a 44,Mujer,13,2.16666666666667,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,109.882689549829
2018,NOA2,30 a 44,Varón,14,2.33333333333333,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,105.790183659366
2018,NOA2,45 a 59,Mujer,48,8,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,291.524513852588
2018,NOA2,45 a 59,Varón,87,14.5,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,455.683214306225
2018,NOA2,60 a 74,Mujer,144,24,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,553.955664092271
2018,NOA2,60 a 74,Varón,202,33.6666666666667,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,634.360874585423
2018,NOA2,75+,Mujer,132,22,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,257.716365767767
2018,NOA2,75+,Varón,110,18.3333333333333,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,170.467475208178
2018,Patagonia Norte,20 a 29,Mujer,2,0.222222222222222,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,13.4228830972765
2018,Patagonia Norte,20 a 29,Varón,1,0.111111111111111,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,6.07295248744055
2018,Patagonia Norte,30 a 44,Mujer,6,0.666666666666667,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,33.8100583230244
2018,Patagonia Norte,30 a 44,Varón,13,1.44444444444444,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,65.4891613129411
2018,Patagonia Norte,45 a 59,Mujer,59,6.55555555555556,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,238.888143295871
2018,Patagonia Norte,45 a 59,Varón,102,11.3333333333333,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,356.166190492222
2018,Patagonia Norte,60 a 74,Mujer,208,23.1111111111111,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,533.438787644409
2018,Patagonia Norte,60 a 74,Varón,308,34.2222222222222,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,644.828875816205
2018,Patagonia Norte,75+,Mujer,363,40.3333333333333,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,472.480003907572
2018,Patagonia Norte,75+,Varón,348,38.6666666666667,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,359.531402257247
2018,Patagonia Sur,20 a 29,Mujer,1,0.111111111111111,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,6.71144154863823
2018,Patagonia Sur,20 a 29,Varón,2,0.222222222222222,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,12.1459049748811
2018,Patagonia Sur,30 a 44,Mujer,6,0.666666666666667,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,33.8100583230244
2018,Patagonia Sur,30 a 44,Varón,7,0.777777777777778,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,35.2633945531221
2018,Patagonia Sur,45 a 59,Mujer,30,3.33333333333333,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,121.468547438578
2018,Patagonia Sur,45 a 59,Varón,72,8,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,251.411428582745
2018,Patagonia Sur,60 a 74,Mujer,91,10.1111111111111,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,233.379469594429
2018,Patagonia Sur,60 a 74,Varón,145,16.1111111111111,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,303.572035692694
2018,Patagonia Sur,75+,Mujer,162,18,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,210.858844719082
2018,Patagonia Sur,75+,Varón,142,15.7777777777778,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,146.705342300371
